CustomerID,Age,Gender,Annual_Income,Num_Website_Visits,Time_Spent_Minutes,Pages_Viewed,Items_Viewed,Cart_Additions,Previous_Purchases,Days_Since_Last_Visit,Discount_Sensitive,Device_Type,Browser,Season,Is_Weekend,Customer_Satisfaction,Purchase,Purchase_Amount
83,62,Female,141401,2,7,31,16,13,1,19,1,Tablet,Chrome,Spring,0,1,0,0
84,35,Female,40455,12,34,3,9,0,9,243,0,Tablet,Safari,Fall,0,1,0,0
85,64,Female,110027,10,92,28,17,3,9,248,0,Tablet,Edge,Summer,0,1,1,448
86,41,Female,91448,1,106,4,12,10,9,4,1,Mobile,Safari,Summer,0,4,1,70
87,43,Male,49974,19,71,17,15,6,5,97,1,Mobile,Chrome,Winter,0,1,0,0
88,42,Male,47371,16,66,38,10,3,7,354,0,Desktop,Safari,Spring,0,2,0,0
89,62,Female,118746,15,41,34,4,7,9,96,0,Tablet,Safari,Summer,0,3,0,0
90,58,Female,121248,14,101,20,17,6,9,210,0,Mobile,Chrome,Spring,0,4,1,76
91,46,Female,23936,9,26,13,18,5,2,236,0,Mobile,Safari,Fall,0,4,0,0
92,32,Female,53166,15,35,47,18,4,0,137,0,Desktop,Edge,Summer,1,3,0,0
93,62,Female,45727,7,50,5,10,9,0,357,0,Tablet,Firefox,Spring,0,4,0,0
94,18,Female,134000,4,80,24,11,2,1,48,1,Desktop,Edge,Summer,0,3,0,0
95,42,Female,83969,18,49,38,21,7,9,164,0,Tablet,Safari,Spring,0,4,1,36
96,24,Female,48368,8,18,17,1,3,5,195,0,Mobile,Safari,Winter,0,3,0,0
97,26,Male,88531,12,16,31,10,7,1,274,0,Mobile,Edge,Summer,0,3,1,459
98,41,Male,59097,15,67,28,3,0,5,296,0,Tablet,Chrome,Spring,0,2,0,0
99,18,Male,54984,15,95,1,27,10,0,321,0,Tablet,Safari,Winter,0,3,0,0
100,61,Male,70859,17,81,2,6,12,8,181,0,Mobile,Edge,Summer,0,3,0,0
101,25,Female,64291,2,92,33,17,1,6,114,0,Mobile,Firefox,Spring,0,5,1,108
102,41,Male,85228,12,42,40,12,13,0,309,1,Mobile,Chrome,Summer,0,4,1,294
103,28,Female,112099,3,51,29,11,1,8,62,0,Desktop,Firefox,Summer,0,4,0,0
104,34,Male,42150,7,58,4,17,11,8,126,0,Desktop,Safari,Winter,0,1,1,464
105,25,Female,42061,6,59,18,3,5,9,163,0,Desktop,Edge,Summer,0,3,1,349
106,52,Female,49178,14,52,24,9,4,5,185,0,Desktop,Chrome,Spring,0,3,0,0
107,52,Male,120872,5,77,32,18,12,1,317,0,Tablet,Chrome,Summer,0,4,0,0
108,50,Male,76790,4,76,9,28,9,1,140,1,Tablet,Chrome,Summer,0,1,1,395
109,22,Female,85696,15,105,47,6,9,7,243,0,Mobile,Firefox,Winter,0,2,1,391
110,59,Female,35648,7,19,16,3,12,8,49,0,Tablet,Chrome,Winter,1,3,1,443
111,56,Female,81779,3,75,21,6,6,3,150,0,Tablet,Edge,Spring,0,5,0,0
112,58,Male,126371,13,92,30,11,1,1,90,0,Tablet,Safari,Fall,1,4,1,26
113,45,Male,56672,10,117,3,11,8,4,324,0,Desktop,Edge,Winter,0,1,1,489
114,24,Female,89109,2,20,33,7,1,6,327,0,Tablet,Chrome,Winter,0,3,0,0
115,26,Male,80521,12,92,31,13,0,3,351,0,Tablet,Chrome,Spring,0,1,0,0
116,25,Female,54593,12,47,45,13,13,8,278,0,Mobile,Edge,Fall,0,5,1,497
117,29,Male,33786,19,11,14,7,1,3,359,0,Desktop,Safari,Summer,0,1,0,0
118,51,Male,114036,19,47,6,14,10,7,296,1,Mobile,Edge,Summer,1,4,1,114
119,50,Male,29815,3,32,5,2,2,2,147,1,Mobile,Chrome,Summer,1,2,0,0
120,40,Male,41966,6,70,29,3,14,5,53,1,Desktop,Chrome,Spring,0,2,1,193
121,41,Male,33794,2,102,37,4,14,5,286,1,Desktop,Firefox,Spring,0,2,1,392
122,54,Female,51423,13,64,36,8,13,2,154,1,Desktop,Safari,Spring,1,1,1,156
123,52,Female,119480,9,106,21,21,5,1,150,0,Mobile,Safari,Winter,0,3,0,0
124,61,Male,41302,13,7,12,1,6,5,61,0,Mobile,Chrome,Spring,0,3,0,0
125,57,Female,81064,14,5,46,9,10,6,73,0,Desktop,Firefox,Fall,1,3,0,0
126,39,Female,106800,19,35,23,17,5,6,302,1,Mobile,Firefox,Winter,1,5,1,147
127,44,Male,105140,11,60,14,18,0,9,58,0,Tablet,Firefox,Summer,0,3,1,189
128,52,Female,47835,14,91,43,7,14,0,29,1,Mobile,Firefox,Winter,0,4,1,296
129,18,Male,93356,16,88,42,27,8,5,224,1,Desktop,Edge,Winter,0,1,1,80
130,52,Female,69282,10,84,10,3,11,8,53,0,Mobile,Firefox,Winter,0,4,1,251
131,54,Female,148451,16,50,27,22,7,8,159,0,Mobile,Safari,Spring,1,2,0,0
132,64,Female,141347,2,36,41,16,11,1,288,0,Desktop,Edge,Fall,0,4,0,0
133,31,Female,72714,16,85,2,8,1,3,9,0,Tablet,Chrome,Spring,0,4,1,432
134,20,Female,87035,14,22,14,5,0,5,37,1,Desktop,Safari,Summer,0,4,0,0
135,18,Female,43814,18,72,7,17,6,3,264,0,Mobile,Edge,Winter,0,5,0,0
136,22,Female,44089,6,39,17,26,2,8,68,1,Tablet,Safari,Winter,0,1,1,118
137,43,Male,93162,7,108,20,28,2,1,308,1,Tablet,Edge,Winter,0,3,1,445
138,31,Male,75831,13,104,8,19,14,9,302,0,Mobile,Safari,Fall,0,4,1,197
139,56,Male,52746,2,27,20,27,10,5,273,1,Desktop,Firefox,Winter,0,2,1,307
140,44,Male,101673,15,83,36,18,9,0,21,0,Tablet,Firefox,Spring,0,1,0,0
141,26,Female,71940,17,17,5,22,8,8,48,1,Desktop,Safari,Fall,0,1,1,125
142,32,Female,106796,13,82,13,5,13,0,265,1,Mobile,Safari,Fall,0,4,1,372
143,32,Female,56476,7,18,39,7,1,7,252,1,Desktop,Chrome,Winter,1,1,0,0
144,43,Male,46283,1,41,38,18,13,8,5,0,Desktop,Firefox,Fall,1,1,1,292
145,59,Male,21769,3,9,17,13,12,0,6,1,Desktop,Chrome,Spring,0,1,0,0
146,30,Male,62278,18,26,6,22,4,0,230,1,Tablet,Chrome,Summer,1,1,1,178
147,49,Female,66994,7,32,19,11,3,9,46,1,Mobile,Firefox,Summer,0,2,1,486
148,56,Male,82898,17,113,25,5,13,6,97,0,Tablet,Chrome,Fall,0,2,0,0
149,49,Female,35634,12,8,3,22,0,9,112,1,Tablet,Firefox,Spring,0,2,0,0
150,21,Male,125035,16,54,41,15,5,4,207,1,Mobile,Chrome,Fall,0,3,1,249
151,47,Female,146259,10,106,28,21,5,2,357,1,Tablet,Edge,Spring,1,2,0,0
152,54,Male,30965,16,33,26,7,10,8,131,0,Tablet,Chrome,Winter,0,3,1,45
153,40,Female,47566,18,41,47,5,0,1,159,0,Desktop,Edge,Winter,1,4,0,0
154,56,Male,72196,15,39,8,29,6,5,103,1,Tablet,Firefox,Winter,0,1,0,0
155,62,Male,118679,11,24,15,7,5,3,135,0,Mobile,Safari,Winter,0,2,0,0
156,32,Female,68285,18,39,1,17,13,4,16,1,Mobile,Edge,Summer,0,4,1,229
157,60,Female,75499,6,103,40,9,13,1,92,0,Tablet,Safari,Winter,0,1,1,161
158,46,Male,39420,1,88,23,6,3,0,227,1,Tablet,Safari,Winter,1,4,0,0
159,53,Female,45236,7,6,36,9,6,8,143,1,Desktop,Safari,Spring,0,5,0,0
160,30,Male,26218,12,62,42,17,2,2,263,0,Tablet,Firefox,Fall,0,1,1,75
161,49,Female,144283,4,22,16,2,9,5,355,1,Desktop,Edge,Summer,0,1,1,298
162,24,Male,69892,10,98,4,23,10,8,112,1,Desktop,Chrome,Spring,0,3,1,157
163,39,Female,94031,2,110,8,20,5,0,240,1,Tablet,Firefox,Fall,0,1,0,0
164,45,Male,119389,9,60,36,13,5,4,184,0,Tablet,Firefox,Winter,1,4,0,0
165,19,Male,84057,10,68,10,26,14,3,98,1,Mobile,Firefox,Fall,1,5,1,494
166,59,Male,98609,11,97,30,17,12,2,147,0,Tablet,Chrome,Summer,0,5,1,79
167,62,Female,96907,14,107,36,21,9,1,206,0,Mobile,Edge,Winter,0,2,1,204
168,23,Male,103130,3,56,16,20,5,2,19,1,Desktop,Safari,Winter,0,2,0,0
169,45,Female,31226,1,26,30,6,14,0,87,0,Desktop,Firefox,Fall,0,4,0,0
170,45,Female,143108,7,97,44,29,2,0,260,0,Tablet,Edge,Summer,0,2,0,0
171,61,Female,72271,4,64,10,23,14,7,192,1,Mobile,Edge,Spring,1,5,1,415
172,61,Male,30046,7,114,11,27,9,4,130,0,Mobile,Firefox,Fall,1,5,1,193
173,37,Female,134955,16,14,34,19,4,1,204,1,Mobile,Chrome,Fall,0,3,1,291
174,47,Female,137462,10,88,16,6,12,2,23,0,Desktop,Chrome,Spring,0,1,1,206
175,28,Female,129345,15,84,19,2,0,1,184,1,Mobile,Firefox,Winter,0,1,0,0
176,45,Male,57117,16,10,44,28,5,9,107,0,Desktop,Edge,Fall,1,2,0,0
177,42,Female,149980,6,85,4,26,6,1,82,0,Desktop,Chrome,Spring,1,4,0,0
178,56,Female,24965,4,10,49,13,4,3,337,0,Tablet,Firefox,Fall,0,1,0,0
179,50,Female,79478,4,90,44,20,4,3,159,0,Tablet,Firefox,Summer,0,1,1,24
180,18,Female,131796,4,86,31,10,12,6,314,1,Desktop,Firefox,Fall,0,5,1,400
181,44,Male,98872,17,100,48,29,5,1,268,1,Tablet,Chrome,Spring,0,2,0,0
182,30,Male,77277,13,32,35,9,6,8,121,0,Tablet,Safari,Fall,0,4,0,0
183,58,Female,105379,2,46,34,13,3,6,163,0,Desktop,Firefox,Fall,0,3,1,16
184,20,Female,79613,6,78,26,7,6,3,4,0,Desktop,Edge,Fall,1,4,0,0
185,56,Female,37373,1,45,39,18,14,6,284,0,Mobile,Firefox,Summer,0,2,0,0
186,23,Female,65452,8,67,6,22,14,9,230,0,Mobile,Firefox,Summer,0,4,0,0
187,25,Male,70089,18,26,33,14,4,0,289,0,Tablet,Firefox,Summer,1,1,0,0
188,44,Male,26654,4,96,47,4,6,6,330,1,Tablet,Edge,Winter,0,4,1,14
189,26,Male,51280,5,83,27,8,0,5,206,1,Desktop,Firefox,Summer,1,2,1,402
190,54,Male,76141,5,111,12,12,9,8,5,0,Mobile,Edge,Fall,0,4,1,434
191,50,Female,143319,15,33,45,8,11,7,266,0,Mobile,Safari,Fall,0,2,0,0
192,59,Female,125646,10,75,8,16,1,1,153,1,Desktop,Firefox,Summer,0,1,0,0
193,61,Male,107943,8,118,9,1,1,2,17,1,Desktop,Chrome,Spring,1,5,0,0
194,41,Male,87894,7,38,1,24,14,2,243,0,Desktop,Safari,Winter,0,4,0,0
195,32,Female,46583,12,100,5,10,6,5,189,1,Mobile,Edge,Fall,0,1,1,33
196,49,Female,138033,11,6,7,7,8,1,212,0,Desktop,Edge,Spring,0,5,0,0
197,49,Female,114242,13,30,18,14,6,1,316,1,Tablet,Edge,Summer,0,1,0,0
198,41,Female,26360,15,113,40,17,11,3,289,0,Mobile,Firefox,Fall,0,5,1,175
199,58,Female,73968,17,79,24,19,5,0,137,1,Desktop,Safari,Winter,1,5,1,366
200,29,Male,23743,18,93,26,5,2,0,178,0,Tablet,Edge,Spring,0,3,0,0
201,56,Male,27159,8,23,10,19,4,0,159,1,Mobile,Firefox,Spring,1,5,0,0
202,19,Female,52151,6,24,40,3,9,4,174,0,Desktop,Edge,Winter,0,5,0,0
203,20,Female,20518,11,37,44,1,1,8,243,0,Tablet,Safari,Winter,0,1,1,458
204,54,Male,36652,9,85,48,8,8,3,111,1,Desktop,Firefox,Summer,0,2,1,194
205,34,Female,98461,5,98,12,9,5,7,132,1,Tablet,Chrome,Spring,0,5,0,0
206,19,Male,133114,7,86,22,5,8,6,31,1,Mobile,Firefox,Spring,0,5,0,0
207,19,Male,134543,15,100,27,1,8,5,4,1,Mobile,Safari,Fall,1,2,1,465
208,45,Male,140132,4,108,3,17,11,8,18,1,Mobile,Chrome,Spring,0,5,0,0
209,40,Male,91011,19,113,18,25,6,9,338,1,Desktop,Edge,Winter,0,4,1,100
210,54,Female,122489,13,8,5,14,13,0,232,0,Mobile,Safari,Summer,0,4,1,299
211,49,Female,123465,1,36,14,17,14,6,290,0,Tablet,Edge,Summer,0,1,1,225
212,50,Male,62348,1,23,25,9,14,8,48,0,Desktop,Safari,Spring,0,3,1,164
213,18,Female,95422,14,7,31,3,4,9,63,0,Tablet,Edge,Spring,0,4,0,0
214,36,Female,97001,9,106,21,3,3,1,270,1,Tablet,Firefox,Summer,0,4,1,62
215,19,Female,144269,12,96,48,13,0,3,90,0,Tablet,Chrome,Winter,1,5,1,480
216,61,Female,138553,18,65,38,20,14,4,87,0,Desktop,Firefox,Fall,1,5,1,419
217,43,Male,96757,9,42,48,5,8,4,289,1,Tablet,Safari,Summer,1,4,0,0
218,49,Female,44395,8,10,20,6,5,6,81,1,Tablet,Chrome,Winter,0,4,0,0
219,23,Male,22335,14,60,14,14,13,9,170,1,Mobile,Firefox,Fall,0,5,1,173
220,49,Male,121978,9,44,20,6,14,7,160,1,Desktop,Safari,Winter,1,2,1,112
221,21,Female,90112,2,85,37,26,1,8,112,0,Mobile,Chrome,Winter,1,4,0,0
222,28,Male,133276,1,110,46,29,11,4,99,0,Tablet,Firefox,Spring,0,3,1,124
223,34,Female,20500,13,73,30,29,6,1,171,0,Tablet,Edge,Fall,0,2,0,0
224,55,Female,144541,10,87,43,25,11,1,185,0,Desktop,Chrome,Fall,1,3,0,0
225,41,Male,112211,8,111,41,17,5,4,143,0,Tablet,Edge,Fall,0,3,0,0
226,22,Female,28083,7,46,20,9,12,4,306,1,Desktop,Chrome,Summer,0,1,0,0
227,51,Male,126598,12,103,7,4,3,4,243,0,Tablet,Firefox,Winter,0,5,1,372
228,23,Male,101256,17,90,5,23,5,5,71,0,Tablet,Safari,Summer,0,3,0,0
229,39,Female,25543,12,92,31,15,12,7,63,0,Mobile,Firefox,Winter,0,4,0,0
230,28,Female,137434,16,78,29,22,10,4,70,1,Tablet,Firefox,Spring,0,4,0,0
231,33,Female,88812,10,6,15,25,5,2,141,1,Mobile,Chrome,Summer,0,2,0,0
232,50,Male,72237,12,32,25,18,4,8,104,0,Mobile,Edge,Winter,0,4,0,0
233,26,Female,116171,11,109,13,15,0,3,146,0,Tablet,Firefox,Winter,0,4,0,0
234,23,Male,140423,14,105,44,27,2,7,163,1,Mobile,Edge,Winter,0,1,0,0
235,33,Male,109716,13,21,24,18,6,8,1,1,Desktop,Chrome,Winter,0,3,1,171
236,46,Female,26613,2,74,15,7,1,6,216,0,Mobile,Safari,Winter,1,5,1,52
237,20,Female,130033,7,111,24,15,9,2,125,0,Desktop,Chrome,Spring,0,2,0,0
238,37,Female,86863,1,73,26,28,9,9,36,1,Mobile,Edge,Summer,0,1,0,0
239,53,Male,60540,3,43,19,25,0,5,242,1,Mobile,Edge,Spring,0,3,1,138
240,36,Female,96202,12,11,24,5,7,6,208,1,Mobile,Edge,Fall,1,3,0,0
241,43,Male,46255,5,36,19,23,6,6,255,0,Tablet,Firefox,Spring,0,4,1,222
242,20,Female,149133,12,8,42,11,5,7,302,1,Tablet,Edge,Summer,0,4,1,55
243,36,Female,105666,3,25,17,24,9,9,253,0,Tablet,Edge,Spring,0,2,0,0
244,37,Male,42068,5,110,48,14,4,4,165,1,Tablet,Firefox,Fall,0,5,1,80
245,49,Male,69057,1,36,5,8,5,4,122,0,Desktop,Edge,Winter,1,4,0,0
246,24,Female,38946,16,86,4,4,0,1,82,1,Mobile,Firefox,Summer,0,5,0,0
247,58,Female,40547,9,101,22,10,11,1,300,1,Tablet,Safari,Summer,0,4,0,0
248,50,Female,105237,10,18,10,7,8,3,349,0,Mobile,Firefox,Spring,0,5,1,52
249,57,Female,137124,10,74,21,1,14,6,324,0,Tablet,Firefox,Summer,0,4,0,0
250,56,Female,25769,13,79,25,20,0,7,76,0,Desktop,Edge,Fall,1,4,1,195
251,35,Male,44883,16,50,6,12,3,2,333,1,Mobile,Chrome,Fall,0,4,0,0
252,57,Male,81340,4,24,30,13,14,0,334,0,Desktop,Firefox,Fall,0,4,1,448
253,18,Male,99199,14,97,29,16,12,3,179,0,Tablet,Chrome,Summer,0,5,1,442
254,28,Male,124222,17,62,11,14,2,5,202,0,Mobile,Safari,Fall,0,1,0,0
255,45,Female,135777,5,103,11,13,3,5,86,1,Tablet,Firefox,Spring,1,2,1,184
256,42,Male,122859,13,84,48,5,0,8,265,0,Tablet,Edge,Summer,0,1,0,0
257,40,Male,55162,3,52,46,14,9,6,337,0,Desktop,Safari,Winter,0,5,0,0
258,48,Male,108388,5,11,27,26,3,8,344,0,Desktop,Firefox,Spring,0,2,0,0
259,47,Female,105924,16,44,19,13,3,9,69,1,Mobile,Firefox,Winter,1,4,0,0
260,59,Male,53434,19,63,22,14,2,4,106,1,Tablet,Edge,Fall,0,1,0,0
261,52,Female,42102,19,40,28,12,7,4,65,0,Mobile,Edge,Spring,1,2,1,282
262,24,Male,41536,17,48,4,23,6,4,27,0,Mobile,Edge,Summer,1,1,0,0
263,33,Female,97891,18,112,37,28,8,4,6,0,Tablet,Firefox,Winter,0,5,0,0
264,43,Male,87770,18,35,19,22,1,3,309,1,Desktop,Chrome,Winter,0,2,1,254
265,19,Female,124639,8,46,17,20,9,5,117,0,Mobile,Edge,Fall,1,4,1,49
266,18,Male,70388,18,48,40,15,2,0,146,0,Mobile,Chrome,Spring,0,3,0,0
267,29,Female,70775,9,47,36,19,5,1,164,0,Mobile,Edge,Spring,0,4,1,132
268,22,Female,51147,19,47,23,11,1,8,97,1,Tablet,Chrome,Winter,1,3,0,0
269,54,Male,70526,10,51,28,22,12,5,310,1,Mobile,Firefox,Winter,1,4,1,45
270,49,Female,43659,2,10,11,26,11,5,162,1,Desktop,Firefox,Winter,0,5,0,0
271,26,Female,129807,17,97,14,15,11,9,288,1,Desktop,Firefox,Summer,0,2,0,0
272,58,Male,124663,13,95,13,29,1,3,51,1,Tablet,Chrome,Winter,0,1,1,416
273,52,Male,102096,11,111,24,28,9,4,131,1,Tablet,Chrome,Fall,0,4,1,413
274,36,Female,132180,16,70,16,21,1,8,321,0,Tablet,Safari,Summer,0,3,0,0
275,33,Male,144233,7,90,28,12,11,1,254,0,Tablet,Edge,Fall,0,2,1,117
276,20,Male,43088,3,13,30,19,1,2,341,1,Desktop,Chrome,Spring,0,1,0,0
277,37,Male,88464,16,15,44,16,12,9,13,0,Tablet,Edge,Spring,1,3,1,280
278,41,Female,143505,19,84,41,4,4,7,8,0,Mobile,Safari,Fall,0,3,1,277
279,50,Female,125921,16,113,39,18,11,8,264,0,Desktop,Safari,Winter,1,2,1,264
280,41,Female,79998,2,81,42,9,13,4,314,1,Tablet,Chrome,Winter,0,5,1,102
281,28,Female,60382,14,22,27,16,0,2,347,1,Tablet,Firefox,Winter,0,5,1,440
282,25,Female,48184,10,29,17,7,6,0,359,1,Mobile,Chrome,Winter,0,5,1,381
283,53,Female,40099,19,101,26,28,0,1,343,1,Desktop,Safari,Spring,0,2,0,0
284,55,Female,89810,11,78,7,26,0,3,136,0,Desktop,Firefox,Summer,0,3,0,0
285,57,Male,110506,18,62,35,19,4,3,317,0,Mobile,Chrome,Spring,1,2,1,275
286,37,Female,111280,11,34,15,24,6,4,248,0,Mobile,Firefox,Fall,1,5,0,0
287,52,Female,57739,9,119,16,24,2,8,199,0,Tablet,Safari,Winter,0,4,1,146
288,42,Male,147937,19,117,21,11,6,1,76,1,Mobile,Chrome,Spring,0,2,0,0
